Miss Jerry| The adventures of a female reporter in the 1890s.;
Sumurum| The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.;
Terror Island| An inventor travels to the South Seas, where there is buried treasure belonging to a girl. The girls father is being held captive by cannibals until she returns a pearl that belongs to one of their idols.;
The Toll Gate| After being betrayed to the law by one of his henchmen, a bandit leader seeks to avenge himself.;
Von morgens bis mitternachts| A Cashier in a bank in a small German town is alerted to the power of money by the visit of a rich Italian lady. He embezzles 60, 000 Marks and leaves for the capital city, where he ...;
Das wandernde Bild| Mia May has surrendered herself to a disciple of free love, and, having given birth to a child, marries the twin brother and Doppelgnger of her chosen lover.;
Agonia sui ghiacci| A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.;
Why Change Your Wife| Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sallys superficiality, Beth strives to ...;
Within Our Gates| Abandoned by her fianc, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.;
The Ace of Hearts| A romantic rivalry among members of a secret society becomes even tenser when one of the men is assigned to carry out an assassination.;
Adventures of Tarzan| Tarzan spurns the love of La, Queen of Opar. When he isnt trying to keep the Bolshevik Rokoff and Clayton pretender to the Greystoke estate from reaching Opar, he is attacked ...;
Fragilit, sei femmina| Socialite Anatol Spencer seeks a better relation that he has with his wife. He sets up the friend of his youth Emilie in an apartment only to have her twotime him. He comforts the near ...;
Be My Wife| Max is determined to woo Mary, despite her Aunt Agathas disapproval.;
Lo scoiattolo| A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.;
The Blot| The Professor dispenses the wisdom of the ages and does not make a living wage. The sons of the rich and powerful are students lacking any motivation. The next door neighbor of the ...;
Buried Treasure| Strung around the idea of reincarnation, this film goes back in time to the days of the Spanish galleons and pirates burying their treasure treasure to be found centuries later.;
Camille| A courtesan and an idealistic young man fall in love, only for her to give up the relationship at his statusconscious fathers request.;
La commedia umana| After losing his father, a playboy moves in with his miserly uncle, who seeks to cheat him out of his inheritance.;
Dream Street| Three men in London compete for the love of a dancehall girl.;
Ducks and Drakes| Heiress Teddy Simpson avoids boredom by calling random men to flirt despite having a fiance, Rob Winslow. Trouble arises when she meets a few of them and they expect to marry her. She must ...;
Eldorado| Sibilla is a single mother, working as a gypsy dancer in a lousy cafe in the south of Spain. Unable to keep with the costs of his sons medical bills, she asks for help to Estiria, her ...;
Enchantment| The frothy experiences of a vain little flapper. Her father induces an actor friend to become a gentlemanly cave man and the film becomes another variation of the Taming of the Shrew ...;
Forbidden Fruit| Mary Maddock becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Mallory. Her husband tries ...;
I quattro cavalieri dellApocalisse| An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.;
Amleto| Danish silent moviestar Asta Nielsen formed her own production company to make this film, in which new elements are combined with features and a few lines familiar from Shakespeares ...;
Hintertreppe| A crippled mailman is in love with a maid who lives in the same building he does in one of the citys poor neighborhoods. She, however, is in love with a wealthy, handsome young man. ...;
Das indische Grabmal zweiter Teil  Der Tiger von Eschnapur| Howard is infected with leprosy, Mac Allen was captured by the Maharadsha, and now the Maharadsha offers Irene a deal one night for letting healing Howard. She accepts, but when she tries ...;
Das indische Grabmal erster Teil  Die Sendung des Yoghi| First part of a serial spectacle, in which the unfaithful wife of a cruel Indian prince attempts to escape from his domination.;
Johan| On a farm in upcountry Sweden, an enigmatic stranger comes to a conservative peasant community and seduces a farmers wife.;
Il monello| The Tramp cares for an abandoned child, but events put that relationship in jeopardy.;
Il carrettiere della morte| On New Years Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.;
Leap Year| A young man, heir to his misogynistic and millionaire uncle, and in love with a nurse, gets in trouble when he gives advice on marriage to his girlfriends.;
Little Lord Fauntleroy| An American boy turns out to be the longlost heir of a British fortune. He is sent to live with the cold and unsentimental lord who oversees the trust.;
The Love Light| Angela maintains a coastal lighthouse in Italy, where she awaits the return of her brothers from the war. She learns they are casualties and takes solace in the arms of an American sailor ...;
Miss Lulu Bett| A oncetimid young woman gains newfound confidence after a failed marriage, much to the chagrin of her miserable family.;
My Boy| An orphan escapes immigration officials at Ellis Island and goes to live with an old ships master who cant find work and cant pay the rent.;
Destino| When a womans fianc disappears, Death gives her three chances to save him from his fate.;
The Nut| Eccentric inventor Charlie Jackson tries to interest wealthy investors in his girlfriends plan to help children from poor neighborhoods.;
Le due orfanelle| Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.;
Outside the Law| In this early collaboration with director Tod Browning Dracula, Freaks, Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kindhearted student of Confucian ...;
Roj no reikion|  NA;
A SailorMade Man| An idle, wealthy playboy foolishly joins the Navy when the father of the girl he wants to marry tells him to get a job to prove himself worthy.;
Sappho| Richard De La Croix has a brother, Andreas, who has been driven insane by a notorious vamp and socialite named Sappho. A manabouttown named Teddy takes Richard to the Odeon to meet her, ...;
Scherben| Set during the winter, the story tells the tale of a track checker and his family who live a povertystricken life next to a railway line. They receive a telegram announcing the arrival of ...;
Il castello di Vogelod| In the castle Vogeloed, a few aristocrats are awaiting baroness Saffersttt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstats first ...;
Lo sceicco| A charming Arabian sheik becomes infatuated with an adventurous, modernthinking Englishwoman and abducts her to his home in the Saharan desert.;
The Sky Pilot| The sky pilot is a preacher who helps Gwen walk again after a nearfatal accident.;
La terre| As Jean is walking across the countryside in search of work, he helps and befriends a young woman, Franoise, who is having trouble controlling the cow that she is leading. Jean finds work ...;
The Three Musketeers| The young Gascon DArtagnan arrives in Paris, his heart set on joining the kings Musketeers. He is taken under the wings of three of the most respected and feared Musketeers, Porthos, ...;
Through the Back Door| When her mother remarries, a young Belgian girl is left behind with her nurse, but when Germany invades the country, she is sent to America to find her mother.;
La pazienza di Davide| When three thuggish men are responsible for the death of his father and the crippling of his brother, young David must choose between supporting his family or risking his life and exacting vengeance.;
Too Wise Wives| An insecure wife fears her husband may be straying back to an old flame.;
Vier um die Frau| Harry Yquem, a wealthy broker, remains obsessed with delusions of his devout wifes infidelity.;
Beautys Worth| Prudence Cole is an unsophisticated Quaker girl being raised by her two aunts. Prudence is flirted with by snobbish Henry Garrison, who actually disdains the girl for her lack of ...;
Let di amare| A young woman marries an older millionaire and then falls in love with a handsome nobleman on her honeymoon.;
Sangue e arena| A toreadors familial and social life is threatened when he has an affair.;
La terra che brucia| When farmer Rog dies, his son Peter stays, but Johannes can not be satisfied with such a condition and servant Marias love and finds a job as old Count Rudenbergs secretary. His ...;
The Brides Play| An Irish lass is torn between the poet who seduced her and noble man who truly loves.;
Crainquebille| A poor vegetable peddler in Paris runs afoul of the law and finds himself ground up in the cogs of the corrupt French judicial system.;
Der var engang| A beautiful but imperious princess refuses all offers of marriage, often condemning her suitors to death. The prince of Denmark comes seeking her hand and, aided by magic objects given to him by a mysterious spirit, seeks to win her love.;
Dr. Jack| Country Doctor, Jack Jackson is called in to treat the SickLittleWellGirl, who has been making Dr. Saulsbourg and is sanitarium very rich, after years of unsuccessful treatment. His ...;
Down to the Sea in Ships| Story of the lives of the people in a small Quaker community and the adventures of a whaling ship.;
La femme de nulle part| A woman appears at the house where she used to live a long time ago. The new inhabitants, a married couple with a toddler, welcome her to stay for the night. Meanwhile, the wife has to choose between family and adventure.;
Flesh and Blood| A convict hiding in Chinatown assumes the identity of a cripple to track down a businessman who framed him 15 years previously. He discovers that his daughter has fallen in love with the businessmans son.;
Femmine folli| A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat.;
Gli stigmatizzati| Based on the 1918 novel Elsker hverandre by Aage Madelung, the film follows various lives, one of which is Jewish girl Hanne Liebe, as she grows up, and experiences the pains of living as a Jew in Russia, leading to a revolution.;
Il talismano della nonna| A meek young man must find the courage within when a rogue tramp menaces his home town.;
The Headless Horseman| The village of Sleepy Hollow is getting ready to greet the new schoolteacher, Ichabod Crane, who is coming from New York. Crane has already heard of the villages legendary ghost, a ...;
Lorna Doone| In 17thcentury England, an outlaw clan kidnaps a young girl, who grows up among them. The farm boy who met her just before the kidnapping eventually rescues her, and they fall in love.;
The Man from Beyond| A man who has been frozen in the Arctic ice for 100 years returns to civilization to find his lost love.;
Manslaughter| Societygirl thrill seeker Lydia causes the death of motorcycle policeman and is prosecuted by her fianc Daniel who describes in lurid detail the downfall of Rome. While shes in prison she reforms and Daniel becomes a wasted alcoholic.;
Donne viennesi| A nobleman, posing as a necktie salesman, falls in love with the daughter of a circus puppeteer, even though he is already married to the daughter of his countrys war minister.;
Monte Cristo| A film adaptation of the classic Alexandre Dumas novel. Edmond Dantes is falsely accused by those jealous of his good fortune, and is sentenced to spend the rest of his life in the ...;
Moran of the Lady Letty| A milquetoast young man of society toughens up once hes shanghaied and falls for the captains tomboy daughter.;
Nathan il saggio| One of the main works of the Age of Enlightenment, a powerful plea in favour of tolerance, humanity and freedom of opinion. Set in the age of the crusades, it deals with the relations ...;
Nosferatu  Il vampiro| Vampire Count Orlok expresses interest in a new residence and real estate agent Hutters wife.;
Oliver Twist| An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.;
Othello| Based on Shakespeares play The treacherous Iago plans to ruin the life of Othello by provoking him to jealousy.;
Fantasma| A shiftless young man becomes obsessed with a mysterious woman and yearns to find her again.;
The Prisoner of Zenda| When the king is drugged and abducted by his ambitious brother, a lookalike relative must take his place to keep the evil sibling off the throne.;
Robin Hood| A nobleman becomes the vigilante Robin Hood who protects the oppressed English people from the tyrannical Prince John.;
Salom| Salome, the daughter of Herodias, seduces her stepfatheruncle Herod, governor of Judea, with a salacious dance. In return, he promises her the head of the prophet John the Baptist.;
Saturday Night| Though betrothed to fellow socialite Richard, Iris weds her chauffeur Tom leaving Richard to marry the family laundress daughter Shamrock. Class differences lead to divorces and remarriages.;
Ombre ammonitrici| A wealthy man invites the local wealthy bachelors over for a puppet show about men who covet another mans wife. The puppeteer is actually a witch and gives the men nightmares about what could happen if they date the lady of the house.;
The Seventh Day| A group of New York society folk on a yachting excursion are forced to put into a New England fishing village for repairs. The engaged couple Reggie and Patricia are taken with the quaint ...;
Shadows| A dying Chinese man converts to Christianity in order to stop a friend from being blackmailed.;
Sherlock Holmes| A young Sherlock Holmes seeks to bring down the criminal mastermind Moriarty as he solves a crime involving a blackmailed prince.;
Sky High| A government agent investigates a ring that is smuggling Chinese aliens across the border from Mexico. His investigation takes him to the Grand Canyon. He finds a dazed girl wandering ...;
Sodom und Gomorrha| When the old multimillionaire Jackson Harber wants to marry the young model Mary, she hesitates, but her mother convinces her that this is her chance to lead a life in luxury and leisure. ...;
Tess of the Storm Country| Wealthy Elias Graves builds his home on the top of a hill, where a group of squatters have taken up residence at the bottom. Many of the men in the squatters village have their eyes on ...;
The Three MustGetTheres| This delightful burlesque of Alexandre Dumas famous adventure narrative and thenleading screen swashbuckler Douglas Fairbanks hit films represented one of writerdirectorstar Max ...;
The Toll of the Sea| While visiting China, an American man falls in love with a young Chinese woman, but he then has second thoughts about the relationship.;
The Trap| A miners happiness is destroyed when a rival steals his mine. He becomes obsessed with revenge, and plans a trap for the man who took his mine.;
Trapped by the Mormons| Mormons capture women for their wives in this silent antiMormon propaganda film featuring the original organ music.;
Das Weib des Pharao| The Ethiopian King offers his daughter to a powerful Pharaoh to secure peace between the two countries.;
When Knighthood Was in Flower| Mary Tudor, sister of Englands Henry VIII, causes a stir by falling in love with a guardsman below her class.;
The Young Rajah| A young man raised in the American South discovers he is an Indian prince whose throne was taken by usurpers.;
Das alte Gesetz| Baruch Mayr, son of an orthodox rabbi from a poor shtetl in Galizia, decides to break with the family tradition and leave the shtetl to become an actor. Due to this behaviour his father ...;
Ladro damore| Wrongfully blamed for the death of Col. John Randall, Cameo Kirby Gilbert must find the true villain and clear his name before he can declare his love for Adele Olmstead, the dead mans...;
Cuore fedele| Marie wants to escape from her job and also from her lover, Paul, an unemployed drunk. She dreams of going off with Jean, a dockworker. The two men quarrel and fight over Marie on two ...;
I pionieri| Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and ...;
The Extra Girl| Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives ...;
Il vecchio castello| Gunnar Hede, a young Swedish man, wants to become a professional musician, but when his father suddenly dies he is pressured by his family to take over the family business, raising and ...;
La leggenda di Gosta Berlings| A drunkard priest who has been cast out by his community struggles to atone and regain his honour and dignity.;
Haldane of the Secret Service| Heath Haldane Houdini tracks down a vicious gang of counterfeiters, narrowly missing death several times. He must rescue Adele Ormsby, whom he loves despite her pending marriage.;
Il gobbo di Notre Dame| In 15thcentury Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen.;
Little Old New York| An Irish girl comes to America disguised as a boy to claim a fortune left to her brother who has died.;
Accidenti che ospitalit| A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.;
Il pellegrino| The Tramp is an escaped convict who is mistaken as a pastor in a small town church.;
Raskolnikow| Student Raskolnikow, who has written an article about laws and crime, proposing the thesis, that unordinary people can commit crimes if their actions are necessary for the benifit of ...;
Rosita| Rosita, a peasant singer in Seville, captures the attention of the King.;
La rosa sulle rotaie| Sisif, a railwayman, and his son Elie fall in love with the beautiful Norma who Sisif rescued from a train crash when a baby and raised as his daughter, with tragic results. Originally ...;
Preferisco lascensore| A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.;
Scaramouche| When a nobleman murders his best friend, a lawyer becomes a revolutionary with his heart set on vengeance.;
Il tesoro| In and around a bell maker near Marburg today Slovenia people tell the story of a treasure that was hidden during the Turki invasion of 1683, the year the Turkish Army was besieging ...;
The Shock| A gang of blackmailers sends a cripple to San Francisco to expose a banker they have been blackmailing. However, the cripple meets and falls in love with the bankers daughter.;
Souls for Sale| A young woman hits Hollywood, determined to become a star.;
Die Strae| Presents two distinct plot lines until the two eventually merge the first is that of the bored middleaged man seeking a departure from monotony in his life the second is that of the ...;
La notte di San Silvestro| The film is set in a bar on New Years Eve. We see plenty of Germans swilling beer nonstop and the owner of the bar and his wife await the arrival of his mother for a little celebration together.;
I dieci comandamenti| After hearing the story of Moses, the sons of a devout Christian mother go their own ways, while the atheist brothers breaking of the Ten Commandments leads to tragedy.;
Senti, amore mio| The misadventures of Buster in three separate historical periods.;
Das Wachsfigurenkabinett| A wax museum hires a writer to give the sculptures stories. The writer imagines himself and the museum owners daughter in the stories.;
The White Rose| A wealthy young Southern aristocrat, Joseph, graduates from a seminary and, before he takes charge of his assigned parish, decides to go out and see what the real world is all about. He ...;
La suora bianca| A young woman becomes a nun when she believes her sweetheart has been killed, but things get complicated when he returns alive.;
White Tiger| Three crooks pull off a magnificent crime. As theyre forced to hide out together they slowly begin to distrust each other.;
Perch preoccuparsi| A hypochondriac vacations in the tropics for the fresh air  and finds himself in the middle of a revolution instead.;
La donna di Parigi| A kept woman runs into her former fianc and finds herself torn between love and comfort.;
Zaza| Zaza is an actress and the favorite at an openair theater in a small French town. When diplomat Bernard Dufresne comes to the village, he stays away for fear he will fall for her. But when Zaza is badly injured, he has no choice.;
Aelita| A mysterious radio message is beamed around the world, and among the engineers who receive it are Los, the hero, and his colleague Spiridonov. Los is an individualist dreamer. Aelita is the...;
America| The story of a family caught up in the American Revolutionary War.;
Beau Brummel| George Bryan Brummel, a British military officer, loves Lady Margery, the betrothed of Lord Alvanley. Despite her own desperate love for Brummel, she submits to family pressure and marries ...;
Black Oxen| A Manhattan playboy falls in love with a mysterious European woman, whom he notices as an exact double for a famous socialite who disappeared at the turn of the century. At first, he thinks...;
Captain January| A lighthouse keeper finds a little girl who is washed ashore tied to some wreckage. He adopts her and they become inseparable. Eventually her real family finds her and tries to take her away.;
The Chechahcos| A fire engulfs a shipload of prospectors and adventurers making their way to Alaska. In the confusion, Mrs. Stanlaw is separated from her young daughter, who ends up in the care of ...;
Dantes Inferno| The tactics of a vicious slumlord and greedy businessman finally drive a distraught man to commit suicide. The businessman is tried for murder and executed, and is afterward taken by demons...;
Dorothy Vernon of Haddon Hall| In the year 1550, Sir George Vernon agrees to have his young daughter Dorothy betrothed to John Manners, the son of the Earl of Rutland. Sir George signs a contract, promising that the ...;
The Enchanted Cottage| A crippled World War I veteran retracts to a small cottage in the countryside to escape from his nosy family and to hide from the outside world. There he meets a plain but also a very kind ...;
The Family Secret| A modest man unknowingly has a baby with a woman from a affluent family.Through a series of coincidences he is reunited with his daughter, forcing the family to confront its secrets.;
La fille de leau| After her fathers death and her uncle having drunk all the inheritance, Virginia is left alone. She is accepted by a family of bohemians but a quarrel between the bohemians and the ...;
Finanze del granduca| The likeable and carefree Grand Duke of Abacco is in dire straits. There is no money left to service the States debt the main creditor is looking forward to expropriating the entire Duchy...;
La zarina| Alexei saves the Czarina from conspirators and is rewarded with her love. He deserts his sweetheart Anna, but discovers that his Queen is unfaithful too. Enraged, Alexei becomes a leader in the ongoing revolution against the royals.;
Tutte e nessuna| A shy, young man, who is completely incapable of talking to women, decides to write a book that details to other bachelors how to find a girlfriend.;
Quello che prende gli schiaffi| A bitter clown endeavors to rescue the young woman he loves from the lecherous count who once betrayed him.;
Her Night of Romance| An impoverished British lord Paul Menford impersonates a doctor in order to woo an ailing American heiress Dorothy Adams. The lord is in it for love, but his business associate Joe Diamond smells money.;
Il re degli scapoli| Episodic look at married life and inlaw problems. Adventures include a ride on a crowded trolley with a live turkey a wild spin in a new auto with the inlaws in tow and a sequence in ...;
Futurismo| Claire Lescot is a famous first lady. All men want to be loved by her and among them is the young scientist Einar Norsen. When she mocks at him, he leaves her house with the declared intention to kill himself.;
Il cavallo dacciaio| After witnessing the murder of his father by a renegade as a boy, the grownup Brandon helps to realize his fathers dream of a transcontinental railway.;
Isnt Life Wonderful| A family of Polish refugees tries to survive in postWorld War I Germany. For a while it seems that they are making it, but soon the economic and political deterioration in the country begins to take their toll.;
Janice Meredith| It is 1774, the eve of the American War of Independence. Janice comes from a Tory household. She cavorts with American and British alike, is pursued by Charles Fownes, patriot and friend of...;
Kean| When a famous Shakespearean actor falls in love with a woman above his station, his professional and personal life begin to crumble.;
Lultima risata| An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.;
Manhandled| Gloria Swanson plays Tessie McGuire, a shopgirl who, when her boyfriend breaks their date one evening, goes to a party with a louche crowd of artists and hangerson. She wows them with some...;
Matrimonio in quattro| Professor Stock and his wife Mizzi are always bickering. Mizzi tries to seduce Dr. Franz Braun, the new husband of her good friend Charlotte. Dr. Brauns colleague, Dr. Mueller, who has had...;
Michael| Triangle story painter, his young male model, unscrupulous princess.;
Monsieur Beaucaire| When M. Beaucaire, a handsome barber, catches the Duke of Winterset cheating at gambling, Beaucaire exacts Wintersets cooperation in sneaking Beaucaire into a great ball, disguised as the ...;
Il navigatore| Two spoiled rich people find themselves trapped on an empty passenger ship.;
Le straordinarie avventure di mr. West nel paese dei bolscevichi| Experience the chronicle adventures of Mr. West and his faithful bodyguard and servant Jeddie, as they visit the land of the horrible and evil Bolsheviks.;
I Nibelunghi La vendetta di Crimilde| After Siegfrieds dead, Kriemhild marries Etzel, the King of the Huns. She gives birth to a child, and invites her brothers for a party. She tries to persuade Etzel and the other Huns, that...;
I Nibelunghi Sigfrido| Siegfried, son of King Sigmund, hears of the beautiful sister of Gunter, King of Worms, Kriemhild. On his way to Worms, he kills a dragon and finds a treasure, the Hort. He helps Gunther to...;
Open All Night| A couples marriage is going stale. She wants a takecharge kind of guy, someone wholl show her who the boss is. Hes not that type, and in fact believes that women dont really respect ...;
Orlacs Hnde| A worldfamous pianist loses both hands in an accident. When new hands are grafted on, he doesnt know they once belonged to a murderer.;
Papirosnitsa ot Mosselproma| As she works in her tedious office job, Maria Ivanovna dreams about being married, and she has particular hopes that her coworker Nikodim Mityushin will take an interest in her. Nikodim, ...;
Paris qui dort| A scientists invisible ray freezes Paris into immobility.;
Peter Pan| Peter Pan enters the nursery of the Darling children and, with the help of fairy dust, leads them off to Never Never Land, where they meet the nefarious Captain Hook.;
The Red Lily| Two young lovers escape their past lives to Paris until fate separates them.;
Romola| In Renaissance Florence, Tito, a nogood young man pretending to be a scholar, wins the admiration of a blind man who has long looked for someone to finish his scholarly work. He has a ...;
The Sea Hawk| A wrongly convicted English gentleman goes from galley slave to pirate captain.;
Secrets| After 40 years of struggle on the Wyoming frontier, a woman reflects on her hardscrabble life with her unfaithful husband.;
La palla n 13| A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriends fathers pocketwatch.;
Sciopero| A group of oppressed factory workers go on strike in prerevolutionary Russia.;
Il ladro di Bagdad| A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.;
Lombra bianca| In Paris a wild girl becomes possessed by the soul of her twin who died to save her life.;
Arance selvatiche| Millie Stope lives with her grandfather on a remote island. Her grandfather fled there for political reasons. But theyre not alone. An escaped prisoner, Nicholas, is terrorizing them, and ...;
Il vino della giovinezza| Unlike earlier generations of Marys who used every trickery to secure husbands, Mary the Third questions the validity of marriage in her search for adventure. Unable to decide between quiet...;
Yolanda| Princess Mary of Burgundy, traveling in disguise using the name of Yolanda, attends a silk fair and falls in love with Maximilian, who has disguised himself as a knight. Later Maximilian is...;
Le avventure del principe Achmed| A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.;
La grande parata| A young American soldier witnesses the horrors of the Great War.;
Body and Soul| A minister is malevolent and sinister behind his righteous facade. He consorts with, and later extorts from, the owner of a gambling house, and betrays an honest girl, eventually driving ...;
Braveheart| Chief Standing Rocks tribe has a treaty protecting their fishing grounds, but a canning corporation is violating the treaty through intimidation and force. The tribe is divided as to how ...;
La corazzata Potemkin| In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessels officers. The resulting street demonstration in Odessa brings on a police massacre.;
The Circle| Elizabeth Cheney has a wealthy husband, social prominence and everything she could want in life . . . except Ted Lutton, the man she loves. Now, she must decide whether to give up ...;
Clash of the Wolves| A fire in the mountains drive a wolf pack into a nearby desert where they will terrorize the local residents.;
Cobra| A penniless, skirtchasing Italian nobleman finds love and scandal when he travels to New York City.;
Don Q Son of Zorro| Don Cesar, son of Zorro, is framed for murder while visiting Spain, and becomes the whipwielding outlaw Don Q.;
Langelo del focolare| When a man becomes tyrannical towards his family, the women of the house decide to teach him a lesson in gratitude.;
Aquila nera| A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his familys land, only to fall for his charming daughter.;
Il fantasma del Moulin Rouge| A man goes to the lonely estate of the mysterious Dr. Renault, whose strange experiments release the mans spirit from his body.;
Il fu Mattia Pascal| Mathias Pascal, only son of a once rich family, marries beautiful Romilde, who has a terrible motherinlaw. She controls her daughter, and soon his home life becomes a nightmare, as well ...;
Viva lo sport| A nerdy college student will do anything to become popular on campus.;
La via senza gioia| Vienna in the biggest depression, directly after WW1. In a slum, Lila Leid, the wife of lawyer Leid is murdered, Egon, secretary of one of Leids clients is arrested. He was with her, and ...;
Furusato no uta| As all his peers leave the countryside to study in Tokyo, Naotaro stays behind.;
La fidanzata di Glomdal| Tore takes over the rundown family farm. Applying his youthful energy, he intends to make it into a big farm like Glomgrden on the other side of the river, where beautiful Berit lives. ...;
Io e la vacca| With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.;
La febbre delloro| A prospector goes to the Klondike in search of gold and finds it and more.;
The Goose Woman| A famous opera singer lost her voice when her son was born, and has drowned her sorrows in drink. When a murder is committed near her house, she invents a story in order to get herself back...;
Rapacit| The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.;
Gribiche| A sincere workingclass 13year old in France is adopted by a wellmeaning philanthropic millionairess from America  who promises his doting mother that the boy will have the finest education  but things are not so simple.;
Her Sister from Paris| A housewife poses as her sister, a notorious dancer, in order to fool her husband and teach him a lesson.;
El hsar de la muerte| The story of Manuel Rodriguez;
Il ventaglio di Lady Windermere| A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.;
Lady of the Night| A worldweary prostitute yearns after respectability and the love of an inventor.;
The Lady| A young woman marries the wastrel son of a British aristocrat. Her husband, who has been disinherited by his father, loses what little money he has left gambling in casinos and then dies, ...;
Lazybones| Steve Tuttle, the titular lazybones, takes on the responsibility of raising a fatherless girl, causing a scandal in his small town. Many years later, having returned from World War I, he ...;
Lights of Old Broadway| Lights of Old Broadway 1925 is a drama film directed by Monta Bell, produced by William Randolph Hearsts Cosmopolitan Productions, and released by MetroGoldwynMayer. The film stars ...;
Little Annie Rooney| The tenements are home to an international community, including the friends and family of a tough young ragamuffin named Annie Rooney, but their neighborhood may be threatened by a dangerous street gang.;
Il piccolo colonnello| After Southern belle Elizabeth Lloyd runs off to marry Yankee Jack Sherman, her father, a former Confederate colonel during the Civil War, vows to never speak to her again. Several years ...;
Un mondo perduto| The first film adaptation of Sir Arthur Conan Doyles classic novel about a land where prehistoric creatures still roam.;
La vedova allegra| A prince must woo the now wealthy dancer he once abandoned in order to keep her money in the country in order to keep it from crashing economically.;
The Monster| A meek clerk who doubles as an amateur detective investigates some very strange goingson at a remote mental sanitarium.;
The Mystic| An American criminal imports a gang of Hungarian gypsies to gain control over a fortune. The victim, Doris Merrick, is persuaded by fake medium Zara to hand over her jewels to Nash.;
Orochi| The story of a decent samurai who is widely considered a scum and a criminal. His bad luck and numerous misunderstandings drag him down the social ladder straight to the gutter.;
Parisian Love| Street people Armand and Marie are madly in love, and she persuades Armand and other gang members to rob the home of Pierre Marcel, a wealthy scientist. The police break up the robbery but ...;
Paths to Paradise| A conwoman has a nice business going in fleecing gullible tourists who want a genuine underworld experience  but the tables are turned when one of her victims turns out to be less ...;
Il fantasma dellopera| A mad, disfigured composer seeks love with a lovely young opera singer.;
The Plastic Age| Hugh Carver is an athletic star and a freshman at Prescott College. He falls in love with Cynthia Day, a popular girl who loves to go to parties. He finds that it is impossible to please ...;
Il labirinto delle passioni| Two couples romances are fancifully intertwined.;
Poil de carotte| Franois mother, Mme Lepic, hates him and she nicknames him Poil de Carotte Carrot hair. His father is more interested in politics and hunting that he is in him. In spite of the ...;
Prem Sanyas| This adaptation of Arnolds 1861 Orientalist epic opens with documentary shots of tourists in Bombay watching street performers. Then a whitebearded old man sitting under the bodhi tree ...;
Pretty Ladies| Maggie, a headlining comedienne with the Follies, takes a fall off the stage into the orchestra pit and lands on the drum of musician Al Cassidy. One thing leads to another, they fall in ...;
The Rag Man| Tim Kelly is an orphan who runs away after his orphanage burns down. Presumed to be killed in the fire, he is able to roam the streets of New York freely. He meets Max Ginsberg, an old ...;
The Red Kimona| A small town girl finds escape from her cruel home life in the arms of a handsome stranger. Soon she finds herself working as a prostitute in New Orleans, desperately clinging to the belief that he really loves her.;
Riders of the Purple Sage| A Texas Ranger searches for his kidnapped sister.;
The Road to Yesterday| A married couple discover their strained relationship is the result of unhappiness in their past lives.;
Zingaresca| Judge Foster throws his daughter out because she married a circus man. She leaves her baby girl with Prof. McGargle before she dies. Years later Sally is a dancer with whom Peyton, a son of...;
