Miss Jerry| The adventures of a female reporter in the 1890s.;
The Coward| Colonel Winslow, veteran of the Mexican War, hopes for a great future for his only son, Frank. At the outbreak of the Civil War, a recruiting station is opened in the Virginia village where...;
La vampira| A married diplomat falls hopelessly under the spell of a predatory woman.;
The Golden Chance| Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...;
Hvnens Nat| A criminal escapes from prison, however a betrayal leads to his second arrest.;
The Italian| An immigrant leaves his sweetheart in Italy to find a better life across the sea in the grimy slums of New York. They are eventually reunited and marry. But life in New York is hard and ...;
Maciste| A young girl, pursued by a band of conspirators, hides in a movie theatre where she watches the film Cabiria. She determines to seek the aid of that films strongman, Maciste. When she ...;
Martyrs of the Alamo| The story of the defense of the missionturnedfortress by 185 Texans against an overwhelming Mexican army in 1836.;
The Nigger| Philip Morrow grows to manhood in the belief that the blood in his veins is the most aristocratic in the South. Clif Noyes, a distiller of whiskey of the fiery brand manufactured for ...;
Posle smerti| Andrei lives a secluded life with his aunt, studying and thinking about his nowdeceased mother. His friend Tsenin is concerned, and tries to get Andrei to accompany him to social events. ...;
Rapsodia satanica| A Faustian tale about an old woman who makes a pact with Mephisto to regain her youth, in return she must stay away from love. After the deal she meets two brothers who fall in love with her.;
La rigenerazione| A boy surrounded by violence grows up to become an infamous gangster.;
I vampiri| An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.;
Young Romance| Young Romance, released in 1915, is a recent rediscovery that forever silences the claim that refined comedy cannot be conveyed via the screen. This disguise plot, worthy of an Elizabethan ...;
20,000 Leagues Under the Sea| A French professor and his daughter accompany Captain Nemo on an adventure aboard a submarine.;
The Children in the House| Roy Somerville has turned out a rather interesting story that will hold the interest of the majority of audiences as produced by the TriangleFine Arts Company. It is a fivereel feature ...;
Civilization| Christ takes on the form of a pacifist count to end a senseless war.;
The Devils Needle| Wynne Mortimer, a pampered society girl and daughter of William Mortimer, a prominent business man, chances to meet David White, a young artist whose fame is already assured, at an art ...;
Ddskyssen| Dr Monro is found dead in his home. Three people are testifying before the police about what happened.;
Flirting with Fate| In the midst of an emotional depression, a man hires a murderer to kill him. But the despair soon passes, and the man must now escape the killer hes hired to end his life.;
Going Straight| A man and his wife both have criminal pasts, but have quit crime and are now respectable citizens. One day a member of their old gang shows up and threatens to expose them if they dont ...;
The Good BadMan| An outlaw calling himself Passin Through halts his evil ways long enough to help out some children in difficulty.;
Gretchen the Greenhorn| A kindly Dutch immigrant and her bumbling father are blackmailed by a gang of counterfeiters.;
The HalfBreed| An outcast named Lo Dorman encounters a young woman lost in the woods. He defends her from danger in the forest and from Sheriff Dunn.;
Hells Hinges| In the wayward western town known as Hells Hinges, a local tough guy is reformed by the faith of a good woman.;
His Picture in the Papers| A young man can only get the woman he loves if he becomes famous and manages to get his picture in the newspapers. He determines to let nothing stand in the way of his doing exactly that, ...;
Hoodoo Ann| A little orphan girl believes that her life is falling apart. It seems that everything that could possibly go wrong does go wrong. However, certain things happen that begin to make her ...;
Intolerance| The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.;
Judex| A twelve part serial following the adventures of the masked vigilante Judex as he fights against criminals led by the corrupt banker Favrauxom.;
The Matrimaniac| A young couple attempts to elope, with the brides irate father in hot pursuit. The train stops briefly and the young man dashes off to find a minister, but before he can get himself and ...;
Pikovaya dama| While hosting a game of cards one night, Narumov tells his friends a story about his grandmother, a Countess. As a young woman, she had once incurred an enormous gambling debt, which she ...;
Reggie Mixes In| Reggie, a wealthy young man about town, is eager for excitement, so he takes to visiting the rougher sections of the city in search of thrills. He meets and falls for a cabaret singer, but ...;
The Return of Draw Egan| Outlaw leader Draw Egan, believed dead, turns up in the town of Yellow Dog. The townsfolk believe him to be William Blake, a strong and lawabiding man. They appoint him sheriff to rid ...;
Schuhpalast Pinkus| Sally Pinkus is an GermanJewish boy who takes a job as a shoe store clerk after being expelled from school for goofing around. Soon fired for trying to court the owners daughter, Pinkus ...;
Sherlock Holmes| When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case.;
Shoes| A young working girl must support her family on only five dollars  120 in 2020 a week. The strain of trying to feed, house and clothe her mother, her father and three sisters finally ...;
Snow White| Snow White is a motherless princess, who arouses the jealousy and hatred of Mary Jane, her mothers former ladyinwaiting, who is the ugliest woman in the kingdom, but aspires to the ...;
The Social Secretary| To avoid unwanted attention at her next job, a young professional disguises herself, leading to some unintended consequences.;
Vingarne| An adaptation of Herman Bangs 1902 novel Mikal. A sculptor befriends a young painter who becomes his model. Their friendship is thrown into turmoil when they both fall in love with the same woman.;
Where Are My Children| A District Attorneys outspoken stand on abortion gets him in trouble with the local community.;
4917| A retired judge comes West to restore a ghost town.;
Bucking Broadway| A ranch foreman battles a rich stockbroker for the affections of a beautiful young woman.;
Cleopatra| The story of Cleopatra, the fabulous queen of Egypt, and the epic romances between her and the greatest men of Rome, Julius Caesar and Antony.;
Furcht| After years travelling the world, Count Greven returns home with the art treasures he has collected. But his disposition has altered dramatically and he is a troubled man. Will he suffer ...;
A Girls Folly| A restless young girl yearns to leave her rural environment and get away from it all. One day she stumbles upon a film crew shooting a western near her home. She makes friends with the ...;
Lastronave| A group of researchers from Earth travel in a spaceship to Mars, where, to big surprise, they find a peaceful vegetarian and pacifist civilization.;
Joan the Woman| A WWI English officer is inspired the night before a dangerous mission by a vision of Joan of Arc, whose story he relives.;
The Little American| A young American has her ship torpedoed by a German Uboat but makes it back to ancestral home in France, where she witnesses German brutality firsthand.;
The Little Princess| Little Sara Crewe is placed in a boarding school by her father when he goes off to war, but he does not understand that the headmistress is a cruel, spiteful woman who makes life miserable ...;
Desiderata| Sad story of an unfaithful wife and her subsequent sufferings as a mother.;
A Modern Musketeer| A restless young man travels west, encountering adventure, romance, and danger.;
Otets Sergiy| Prince Kasatsky is a just and proud youth, shock and disappointment with the world bring him to church, he becomes father Sergius. It is a story of his piety and temptation.;
The Poor Little Rich Girl| The wealthy but selfish parents of a lonely young girl begin to rethink what is important to them after a servants irresponsibility results in a crisis.;
Raffles, the Amateur Cracksman| Gentleman burglar Raffles tries to get his hand on a priceless pearl.;
Rebecca of Sunnybrook Farm| With her family in financial difficulties, Rebecca is sent to live with her two strict, unfeeling aunts, who do not appreciate the young girls charm and energy. Rebecca must make new ...;
A Romance of the Redwoods| A young girl travels west to live with her uncle during the California Gold Rush only to find that he has been killed by Indians and his identity assumed by an outlaw.;
Straight Shooting| Cattleman Flint cuts off farmer Sims water supply. When Sims son Ted goes for water, one of Flints men kills him. Cheyenne is sent to finish off Sims, but finding the family at the newly dug grave, he changes sides.;
A Tale of Two Cities| Alcoholic lawyer Sydney Carton travels to Paris during the Reign of Terror to rescue French aristocrat Charles Darnay, husband of the woman he loves.;
Terje Vigen| Terje Vigen, a sailor, suffers the loss of his family through the cruelty of another man. Years later, when his enemys family finds itself dependent on Terjes beneficence, Terje must ...;
Thomas Graals bsta film| Thomas Graals a screenwriter, is very fond of his secretary Bessie. Overtaken by a kiss by Thomas she runs away. In his misfortune Thomas writes a screenplay inspired by Bessie. But she has not been really honest with him .;
Tillie Wakes Up| On the third floor of the apartment house at 003 Findlet Avenue lived Mr. and Mrs. Henry Tinkelpaw. The neighbors said it was a shame the way he neglected his poor wife, but Tillies ...;
Tom Sawyer| Tom Sawyer, a young Missouri lad, finds fun and adventure with his pals Joe Harper and Huckleberry Finn, running away to hide out on Jacksons Island and pretending to be Mississippi River ...;
Tsen frn Stormyrtorpet| Helga is a young single lady who has a baby by a much older married man. After the older man tells Helgas father that he refuses to pay child support because he isnt the childs father, ...;
Wild and Woolly| A rich young Easterner who has always wanted to live in the Wild West plans to move to a Western town. Unknown to him, the towns wild days are long gone, and it is an orderly, ...;
Amarilly of ClothesLine Alley| Amarilly comes from a large family in a workingclass neighborhood. She is happy with her family and her boyfriend Terry, a bartender in a cafe. But one day she meets Gordon, a sculptor who...;
Az aranyember| The adventures of captain Mihly Tmr, who aids a persecuted Turkish Pasha and his daughter in their escape across the Donau. After the Pasha dies, the captain acquires his fortune and ...;
Gli occhi della mummia| A girl is kidnapped and held captive in an ancient Egyptian temple. She is rescued and flees to England, but soon finds that her mysterious captor is still haunting her.;
I proscritti| A stranger comes to work at widow Hallas farm.;
Luccello blu| Two peasant children, Mytyl and Tyltyl, are led by Berylune, a fairy, to search for the Blue Bird of Happiness. Berylune gives Tyltyl a cap with a diamond setting, and when Tyltyl turns the...;
Broadway Love| A smalltown girl goes to New York hoping to become a star on Broadway, but the best she can do are roles as chorus girls. She falls in with a fast crowd, notably a party girl named ...;
Sangue gitano| The tragic story of Don Jose, a Spanish cavalryman, who falls under the spell of a gypsy girl, Carmen, who treats him with both love and contempt and leads him into temptation and thus ...;
La decima sinfonia| Composer Enrid Damor knows nothing of the past life of his new wife Eve Dinant  she lived as a debauchee with an adventurer, Fred Ryce. Fred Ryce meets Damors daughter, Claire, and tries ...;
Lallegra prigione| A neglected wife disguises herself in order to lure her wastrel husband into a compromising position.;
The Forbidden City| A Chinese mandarin hopes to regain favor with the Emporer by betrothing her to him, but he doesnt know shes secretly married to the American consul and pregnant.;
Cuori del mondo| Young lovers in a French village are torn apart with the coming of the Great War.;
Indemoniato| A cowboy must save his girlfriend from captivity and then cross the desert on foot with a single waterhole on the way.;
Johanna Enlists| A young girl, stifling on her fathers backwoods farm, is reinvigorated by the arrival of an army regiment, come to train in the area.;
MLiss| Mliss, a feisty young girl in a mining camp, falls for Charles Gray, the school teacher. Charles is implicated in a murder of which he is innocent, and the two must fight to save him from ...;
The Married Virgin| An already engaged young woman is blackmailed into marrying a count in order to save her father from imprisonment.;
Mickey| Mickey, an orphan who has been brought up in a mining settlement, is sent to New York to live with her aunt.;
Old Wives for New| Charles Murdock neglects his fat and lazy wife in favor of Juliet Raeburn but, when Juliets name is involved in murder, he marries Viola and takes her to Paris.;
A Pair of Silk Stockings| A Pair of Silk Stockings is a 1918 American silent marital comedy film starring Constance Talmadge and Harrison Ford. It was directed by Walter Edwards and produced and distributed by ...;
A Romance of Happy Valley| John Logan leaves his parents and sweetheart in bucolic Happy Valley to make his fortune in the city. Those he left behind become miserable and beleaguered in his absence, but after several...;
Shifting Sands| Marcia Grey is wrongly convicted on trumpedup evidence of a German. After serving her term, she rebuilds her life and marries well. The German then attempts to blackmail her into helping ...;
Charlot soldato| Charlie is a boot camp private who has a dream of being a hero who goes on a daring mission behind enemy lines.;
Stella Maris| Two young women  a paraplegic girl sheltered by her wealthy guardians and a more experienced orphan  fall in love with a man separated from his violent wife.;
Tarzan of the Apes| Reared by a childless ape, the orphaned heir of the Greystokes becomes one of the apes. Then, Dr Porter organises a rescue expedition, and his beautiful daughter, Jane, catches his attention. Has Tarzan of the Apes found the perfect mate;
Tih Minh| Jacques dAthys, a French adventurer, returns to his home in Nice after an expedition to Indochina where he has picked up a Eurasian fiance and a book that, unbeknownst to him, contains a ...;
The Unbeliever| A wealthy young American, bred to class distinction and racial intolerance, enters the Marines during the First World War. In the course of his training and his experiences in the trenches ...;
The Whispering Chorus| John Trimble has embezzled and obtains another identity by having a mutilated body buried in his place. He is later arrested for murdering himself. During the trial his mother, before dying...;
